student_id,institute_id,course_type,course_family,cgpa,internship_count,internship_employer_tier,ppo_exists,cert_count,graduation_month,graduation_year,target_field,target_city_tier,loan_emi_monthly,has_profile_contradiction,is_scarred,10th_board_score,12th_board_score
a0750f22-f898-58b9-8b89-fb5bf64c6dbe,1ba77ac2-d743-5e64-97f0-efec22d1a921,MBA,campus,7.66,1,unverified,False,2,1,2022,Public relations officer,3,22665.61,False,False,78.4,69.9
35895269-780a-5f7e-a461-8a934b6728cd,e0b1cd9b-dae1-562f-a083-3d9e2d37b039,Arts,market,8.63,2,unverified,False,1,1,2024,Stage manager,3,12272.59,False,False,66.0,56.2
06676161-7414-5d89-81d3-ec987e17dd14,5baf5113-1203-5d7b-9eed-43e4c6ced81d,Arts,market,7.51,1,unverified,False,1,4,2021,Diagnostic radiographer,2,15618.69,False,False,78.5,84.1
ea2d6d21-a99f-51f9-917f-3f5f9b384a43,7ca622ca-7d41-5365-89b3-c0b5125326a8,Law,regulatory,9.44,0,none,False,1,3,2022,Geochemist,2,15715.49,False,False,87.6,83.8
cad5902c-1ad8-5874-b70a-e786e221537e,0a9b4a0c-dbfc-5dc8-951a-c1acfe131a84,Law,regulatory,6.77,0,none,False,1,1,2024,"Secretary, company",3,6923.53,False,False,73.2,69.7
62054d3e-6713-5328-a094-441e322eeced,e53e4cea-62ed-5c2b-83e5-2abe5acc18ae,Architecture,regulatory,8.11,2,unverified,False,3,10,2021,Training and development officer,1,22942.21,False,False,77.6,62.7
c8b456b7-f720-52fb-ae16-81bebf0425d1,e3303573-e845-50b3-8b54-a32a3c88cad2,Arts,market,6.26,0,none,False,4,5,2024,pharmacologist,3,8518.51,False,True,60.6,64.0
ddab6b88-460f-51de-a962-ea2a396977df,624a47f4-cc67-5634-a0b2-42365ab75e2d,MBA,campus,7.28,0,none,False,3,10,2024,"Engineer, mining",3,17622.77,False,False,52.7,50.2
edbd11b9-9e7c-5acb-a6a6-06f93efc7734,5baf5113-1203-5d7b-9eed-43e4c6ced81d,Nursing,regulatory,,0,none,False,2,11,2022,"Solicitor, Scotland",2,19954.38,False,False,67.1,67.8
1cc7833a-a3a5-53c0-bcb8-7d858c5a6a7a,d846a05d-7f8f-5262-ac2e-8c34f4f64c02,MBA,campus,6.88,0,none,False,3,4,2021,"Engineer, control and instrumentation",3,18920.6,False,False,92.3,88.9
daf28eee-a29f-5a35-a783-6f63d12add54,a8501656-174d-5c16-9667-61e6de2d50cd,CA,campus,5.32,0,none,False,0,5,2024,Insurance underwriter,3,7732.43,False,False,68.3,72.2
ddd6ac6a-42f4-526a-b699-85f7a2c1a3b2,f3659c54-d08c-5b47-8201-d34892ef692c,Architecture,regulatory,5.65,5,unverified,False,2,4,2022,Oceanographer,1,14311.96,False,False,52.2,62.0
e1440a65-a8df-59c5-878d-b15dbfa27291,1ba77ac2-d743-5e64-97f0-efec22d1a921,CA,campus,6.8,0,none,False,0,11,2023,Midwife,3,21840.46,False,False,68.8,64.7
